age_yrs,mean_mass,sd_mass,mean_lwr,mean_upr,quant025,quant975,female_mass,male_mass
46.5,20146.511958461582,252.74551342591437,16927.3228891208,23977.958649457047,19656.755656424517,20645.994275614095,20720.373062226066,19825.638462499166
47,20146.986760943953,252.91670985352096,16927.679726007034,23978.583436511915,19656.900651453234,20646.809353847773,20720.86138916752,19826.1057028024
47.5,20147.42039755143,253.05344953959485,16928.00564828109,23979.1540143804,19657.070854862417,20647.51477258351,20721.30737764924,19826.532432879627
48,20147.81650828499,253.16535166838122,16928.303381460177,23979.675189885977,19657.25137784842,20648.133293686136,20721.714771355415,19826.922234757534
48.5,20148.17892925693,253.29632314029632,16928.57575539039,23980.152100215215,19657.3614887728,20648.75604258995,20722.087515667667,19827.278883450657
49,20148.510105147052,253.4132848263781,16928.824650164195,23980.58789042877,19657.467343916112,20649.319699734693,20722.428124901002,19827.604784702376
49.5,20148.81300410037,253.53661826230763,16929.05227235149,23980.986506798334,19657.532655358973,20649.867753069197,20722.73965174624,19827.902859384067
50,20149.089851700166,253.65136951899623,16929.260314489085,23981.350844520428,19657.588449936087,20650.372697877003,20723.024385181037,19828.17529763214
50.5,20149.34226366931,253.71506944500257,16929.45004513136,23981.682938590784,19657.718138423956,20650.751715355997,20723.28398695115,19828.42368943585
51,20149.57319545963,253.79079416485644,16929.623607511778,23981.98680891398,19657.803190546583,20651.1331630626,20723.52149669265,19828.650943175548
51.5,20149.784439853338,253.87359868824325,16929.782356061096,23982.264802721566,19657.854923055416,20651.509002435523,20723.738758254054,19828.858823079794
52,20149.977398459596,253.9426578471062,16929.927371041926,23982.518719227613,19657.914846368178,20651.839231573886,20723.937213168505,19829.048708434333
52.5,20150.153988343067,254.0227483368917,16930.060062917026,23982.75113196102,19657.937157728375,20652.175026807094,20724.118833107088,19829.22248577073
53,20150.315225765175,254.0858507771134,16930.1812312268,23982.96331814094,19657.97683788098,20652.461697510793,20724.28466327881,19829.381155164414
53.5,20150.462496743727,254.13784552529307,16930.291910874173,23983.1571129568,19658.023947000464,20652.71232031124,20724.436129181347,19829.52608055809
54,20150.597247407954,254.19645321244218,16930.393167027527,23983.33445573732,19658.045801644515,20652.963572535515,20724.57471813605,19829.65868504849
54.5,20150.72006989625,254.22766156153708,16930.485487855593,23983.49605321468,19658.108500041326,20653.148424089733,20724.701039148003,19829.779551343017
55,20150.832773200764,254.28763871265704,16930.570162913824,23983.644403348426,19658.105673524416,20653.38035545374,20724.816952737398,19829.890459621998
55.5,20150.93553098916,254.32589740484707,16930.64738645412,23983.779627644497,19658.13473184747,20653.559162903624,20724.922637518714,19829.9915807871
56,20151.029446546687,254.3612984790979,16930.717964366966,23983.903216997962,19658.16045298483,20653.723448110373,20725.019228203608,19830.08400055154
56.5,20151.11537778335,254.40072790622838,16930.782533111258,23984.016314263223,19658.17043272641,20653.887759417095,20725.10760713913,19830.168563161395
57,20151.19382796046,254.43116290958028,16930.841487563684,23984.119553713903,19658.19025534252,20654.026708308975,20725.188291921677,19830.245763862535
57.5,20151.265591854324,254.46373706630052,16930.895411345762,23984.21400417756,19658.199272877613,20654.16322504878,20725.262099966283,19830.31638477286
58,20151.331085920698,254.48730925094628,16930.944631685594,23984.30018974835,19658.219358789407,20654.275575327632,20725.329459591187,19830.38083571524
58.5,20151.39105106274,254.51647993419337,16930.98968731223,23984.379115758595,19658.223134329954,20654.3935284739,20725.39113280372,19830.439845792465
59,20151.445848634492,254.5428748744002,16931.03086052601,23984.4512396993,19658.2270890191,20654.50079617211,20725.447491250878,19830.49377060329
59.5,20151.495902896888,254.56530826662612,16931.06847186305,23984.517117023257,19658.233930806764,20654.595444981467,20725.498971278404,19830.543027651453
60,20151.541679418682,254.58804916180426,16931.10286603679,23984.577369071976,19658.23590330525,20654.686428115587,20725.5460517165,19830.58807509058
60.5,20151.583435621968,254.60344259766717,16931.1342462877,23984.632318168853,19658.24800675468,20654.758783328612,20725.588997319763,19830.62916624282
61,20151.6216857135,254.62367402113824,16931.162983909588,23984.68266640553,19658.247287056103,20654.837251892888,20725.628336941823,19830.666807125144
61.5,20151.65661402483,254.6402415020604,16931.189228248866,23984.72863818499,19658.250302559365,20654.905114533547,20725.66426016479,19830.70117913326
62,20151.688560885992,254.6571930452978,16931.213230117617,23984.77068967659,19658.249597406906,20654.97075979271,20725.69711701281,19830.732617176764
62.5,20151.717720207154,254.6701759074785,16931.235140828412,23984.809066674592,19658.253748497253,20655.025727383094,20725.727106919447,19830.76131207742
63,20151.744356671377,254.68122614489081,16931.25515684769,23984.84412159598,19658.259099189774,20655.074330044088,20725.754502107106,19830.787524302676
63.5,20151.76878485176,254.69720095306874,16931.273506069734,23984.87628269535,19658.252757640443,20655.130515857512,20725.779626109303,19830.811563415427
64,20151.791059631392,254.70837611551852,16931.290242044135,23984.90560153399,19658.25350672731,20655.17500589393,20725.802535372448,19830.833483424645
64.5,20151.811393008986,254.71699127270998,16931.305521362017,23984.93236167315,19658.25724505421,20655.212464991266,20725.823447933897,19830.853492952534
65,20151.829991736737,254.7259872660442,16931.319495783104,23984.956841262116,19658.2585155389,20655.248946890435,20725.842576435065,19830.871795458348
65.5,20151.847002100058,254.7351187928485,16931.332275620578,23984.979232170386,19658.257936876893,20655.284110141154,20725.860071328207,19830.88853489761
66,20151.862515359102,254.74124517634323,16931.34393346648,23984.99964775961,19658.261648972817,20655.311801643376,20725.87602647297,19830.90380107698
66.5,20151.87670444791,254.74765073819037,16931.354595215696,23985.018322431904,19658.26349942643,20655.33872424512,20725.890619729318,19830.91776417617
67,20151.889686442973,254.75452090315832,16931.36434867288,23985.03541055581,19658.26324818623,20655.365363670593,20725.903971508593,19830.930539407
67.5,20151.90159713676,254.76400457163732,16931.373293236695,23985.05109527901,19658.256892442805,20655.39612817688,20725.916221471227,19830.942260399162
68,20151.91243045015,254.76911759088426,16931.38143315681,23985.065353793634,19658.25787694849,20655.41712566281,20725.92736336494,19830.95292117037
68.5,20151.922362800386,254.7759854728788,16931.388893358315,23985.078431109836,19658.25458092627,20655.440711376425,20725.937578632114,19830.962695328064
69,20151.931392397393,254.77900124295272,16931.39567957708,23985.09031298086,19658.257801092815,20655.455735629344,20725.946865431684,19830.971581110683
69.5,20151.93968635015,254.78463939539986,16931.401909297365,23985.101232915906,19658.255235264947,20655.475238224262,20725.955395632627,19830.979742965654
70,20151.947267481355,254.78988853218982,16931.40760348488,23985.11121454346,19658.25270593139,20655.493254658533,20725.963192707728,19830.987203352182
70.5,20151.954171254754,254.79300061604306,16931.412791015566,23985.120300796458,19658.25361510263,20655.50634490461,20725.970293130904,19830.993997169182
71,20151.960478774567,254.79572503582924,16931.41753066818,23985.128602051354,19658.254674713564,20655.518068225545,20725.976780316567,19831.000204229127
71.5,20151.966265033756,254.7997204786822,16931.421876740398,23985.136220455068,19658.252765273686,20655.531797441057,20725.982731393822,19831.005898330564
72,20151.97155108258,254.80323909068082,16931.425847269307,23985.1431799848,19658.251274029353,20655.54407847711,20725.98816801252,19831.01110018849
72.5,20151.976373746173,254.80589237443155,16931.42947043727,23985.149528247755,19658.25098600826,20655.554175733454,20725.993128046746,19831.01584604152
73,20151.98078507086,254.80858940232065,16931.43278423351,23985.155335622094,19658.25020246302,20655.56394868657,20725.997665025327,19831.02018710704
73.5,20151.984807737605,254.81045071597896,16931.435806824513,23985.160630071587,19658.250639822643,20655.571671454494,20726.001802275277,19831.02414570477
74,20151.98849427661,254.81285835541294,16931.438575965854,23985.16548361413,19658.249688934455,20655.580144363244,20726.005593823098,19831.02777352827
74.5,20151.9918718646,254.81564370915908,16931.441112306737,23985.169931634147,19658.247701700773,20655.589059348473,20726.009067619623,19831.031097321415
75,20151.994945459108,254.8172864467776,16931.443421495642,23985.173977426522,19658.24761108643,20655.59539861014,20726.012228763593,19831.03412196278
