phase,age_yrs,sex,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Ts,mass,mass_sd,pctbodywt,pctbodywt_sd
2,18,N/A,P_cost,1260.6712262669516,1.194255052705166,1259.1671297843322,1263.166192488745,1260.6712262669516,1.194255052705166,1259.1671297843322,1263.166192488745,434.71421595412124,0.4118120871397123,434.19556199459726,435.57454913405,365,19235.108619679897,0,2.26000395708374,0.0021409397538747327
2,19,N/A,P_cost,1270.110738081247,1.22645690179163,1268.6099924517282,1272.6565558521238,1270.110738081247,1.22645690179163,1268.6099924517282,1272.6565558521238,437.96922002801625,0.4229161730315967,437.4517215350787,438.8470882248703,365,19384.1694975783,0,2.259416995310181,0.0021817606015281325
2,20,N/A,P_cost,1278.0268092328586,1.255764425588683,1276.5530669445889,1280.608489679719,1278.0268092328586,1.255764425588683,1276.5530669445889,1280.608489679719,440.6988997354685,0.43302221572023564,440.1907127395135,441.58913437231695,365,19509.264751435097,0,2.258921109279891,0.00221957219422317
2,21,N/A,P_cost,1284.6687657290802,1.2910333360810355,1283.2265603678934,1287.2906903415587,1284.6687657290802,1.2910333360810355,1283.2265603678934,1287.2906903415587,442.9892295617518,0.44518390899346055,442.49191736823917,443.8933414970892,365,19614.163674665208,0,2.258517043650158,0.002269706301923469
2,22,N/A,P_cost,1290.243242766138,1.3348018878647174,1288.7794041693737,1292.9415756828457,1290.243242766138,1.3348018878647174,1288.7794041693737,1292.9415756828457,444.91146302280623,0.46027651305679934,444.4066910928875,445.84192264925713,365,19702.079708881447,0,2.258195427065732,0.002336182371901139
2,23,N/A,P_cost,1294.9114749484834,1.3744282894056694,1293.4809948811835,1297.653761092037,1294.9114749484834,1.3744282894056694,1293.4809948811835,1297.653761092037,446.5211982580977,0.4739407894502308,446.02792926937366,447.46681416966794,365,19775.715279992397,0,2.2579269166049065,0.0023965797582539464
2,24,N/A,P_cost,1298.8263737767013,1.417953713846171,1297.3847396589683,1301.639484851461,1298.8263737767013,1.417953713846171,1297.3847396589683,1301.639484851461,447.87116337127634,0.4889495564986799,447.37404815826494,448.84120167291763,365,19837.37016881875,0,2.2577144024627813,0.002464790203225794
2,25,N/A,P_cost,1302.093667148082,1.4465563809496387,1300.716231352397,1304.9140352992079,1302.093667148082,1.4465563809496387,1300.716231352397,1304.9140352992079,448.9978162579593,0.4988125451550478,448.5228383973782,449.9703569997269,365,19888.963688312964,0,2.2575224294958955,0.0025079866048936333
2,26,N/A,P_cost,1304.8366401780859,1.4847576846285966,1303.4838275031211,1307.6964392137047,1304.8366401780859,1.4847576846285966,1303.4838275031211,1307.6964392137047,449.94366902692616,0.5119854084926194,449.477181897628,450.92980662541544,365,19932.12815085348,0,2.2573789693784394,0.0025686439732763616
2,27,N/A,P_cost,1307.1294765656417,1.516106243353561,1305.7961448378844,1310.0191326643205,1307.1294765656417,1.516106243353561,1305.7961448378844,1310.0191326643205,450.7343022640144,0.5227952563288142,450.2745327027187,451.7307354014899,365,19968.23192387259,0,2.257256946846399,0.0026181349371438203
